source_id,destination_id,description,technology,import_edge_count,tags
core_libraries,pipeline_runtime,Uses,Python imports,2,internal
pipeline_runtime,core_libraries,Uses,Python imports,63,internal
simulation_clis,core_libraries,Uses,Python imports,16,internal
simulation_clis,pipeline_runtime,Uses,Python imports,1,internal
architecture_tooling.workflow,architecture_tooling.repo_maps,Uses,Python imports,4,"internal,component"
core_libraries.anomaly,core_libraries.io,Uses,Python imports,1,"internal,component"
core_libraries.anomaly,core_libraries.perf,Uses,Python imports,2,"internal,component"
core_libraries.anomaly,core_libraries.pyspark,Uses,Python imports,2,"internal,component"
core_libraries.anomaly,core_libraries.scoring,Uses,Python imports,1,"internal,component"
core_libraries.backbone,core_libraries.io,Uses,Python imports,3,"internal,component"
core_libraries.backbone,core_libraries.pyspark,Uses,Python imports,1,"internal,component"
core_libraries.events,core_libraries.common,Uses,Python imports,4,"internal,component"
core_libraries.events,core_libraries.io,Uses,Python imports,3,"internal,component"
core_libraries.events,core_libraries.perf,Uses,Python imports,2,"internal,component"
core_libraries.events,core_libraries.profiling,Uses,Python imports,1,"internal,component"
core_libraries.events,core_libraries.pyspark,Uses,Python imports,3,"internal,component"
core_libraries.events,core_libraries.spark_sequence,Uses,Python imports,3,"internal,component"
core_libraries.events,core_libraries.windows,Uses,Python imports,1,"internal,component"
core_libraries.graph,core_libraries.io,Uses,Python imports,6,"internal,component"
core_libraries.graph,core_libraries.perf,Uses,Python imports,2,"internal,component"
core_libraries.graph,core_libraries.pyspark,Uses,Python imports,1,"internal,component"
core_libraries.io,core_libraries.perf,Uses,Python imports,1,"internal,component"
core_libraries.phase,core_libraries.backbone,Uses,Python imports,1,"internal,component"
core_libraries.phase,core_libraries.common,Uses,Python imports,5,"internal,component"
core_libraries.phase,core_libraries.io,Uses,Python imports,1,"internal,component"
core_libraries.phase,core_libraries.perf,Uses,Python imports,4,"internal,component"
core_libraries.phase,core_libraries.pyspark,Uses,Python imports,2,"internal,component"
core_libraries.phase,core_libraries.spark_sequence,Uses,Python imports,3,"internal,component"
core_libraries.profiling,core_libraries.behavior,Uses,Python imports,1,"internal,component"
core_libraries.profiling,core_libraries.common,Uses,Python imports,2,"internal,component"
core_libraries.profiling,core_libraries.io,Uses,Python imports,3,"internal,component"
core_libraries.profiling,core_libraries.perf,Uses,Python imports,1,"internal,component"
core_libraries.profiling,core_libraries.pyspark,Uses,Python imports,1,"internal,component"
core_libraries.pyspark,core_libraries.io,Uses,Python imports,1,"internal,component"
core_libraries.scoring,core_libraries.graph,Uses,Python imports,1,"internal,component"
core_libraries.scoring,core_libraries.io,Uses,Python imports,4,"internal,component"
core_libraries.scoring,core_libraries.phase,Uses,Python imports,1,"internal,component"
core_libraries.scoring,core_libraries.pyspark,Uses,Python imports,1,"internal,component"
core_libraries.simulation,core_libraries.anomaly,Uses,Python imports,1,"internal,component"
core_libraries.simulation,core_libraries.behavior,Uses,Python imports,8,"internal,component"
core_libraries.simulation,core_libraries.events,Uses,Python imports,1,"internal,component"
core_libraries.simulation,core_libraries.graph,Uses,Python imports,1,"internal,component"
core_libraries.simulation,core_libraries.io,Uses,Python imports,7,"internal,component"
core_libraries.simulation,core_libraries.perf,Uses,Python imports,1,"internal,component"
core_libraries.simulation,core_libraries.phase,Uses,Python imports,1,"internal,component"
core_libraries.simulation,core_libraries.profiling,Uses,Python imports,1,"internal,component"
core_libraries.simulation,core_libraries.reporting,Uses,Python imports,1,"internal,component"
core_libraries.simulation,core_libraries.scoring,Uses,Python imports,1,"internal,component"
core_libraries.simulation,core_libraries.tuning,Uses,Python imports,1,"internal,component"
core_libraries.simulation,pipeline_runtime.grouped_runners,Uses,Python imports,1,"internal,component"
core_libraries.tuning,core_libraries.perf,Uses,Python imports,1,"internal,component"
core_libraries.tuning,core_libraries.simulation,Uses,Python imports,2,"internal,component"
core_libraries.windows,core_libraries.common,Uses,Python imports,2,"internal,component"
core_libraries.windows,core_libraries.io,Uses,Python imports,3,"internal,component"
core_libraries.windows,core_libraries.perf,Uses,Python imports,5,"internal,component"
core_libraries.windows,core_libraries.pyspark,Uses,Python imports,1,"internal,component"
core_libraries.windows,core_libraries.spark_sequence,Uses,Python imports,1,"internal,component"
pipeline_runtime.fitting_stages,core_libraries.backbone,Uses,Python imports,1,"internal,component"
pipeline_runtime.fitting_stages,core_libraries.events,Uses,Python imports,4,"internal,component"
pipeline_runtime.fitting_stages,core_libraries.graph,Uses,Python imports,4,"internal,component"
pipeline_runtime.fitting_stages,core_libraries.io,Uses,Python imports,11,"internal,component"
pipeline_runtime.fitting_stages,core_libraries.perf,Uses,Python imports,10,"internal,component"
pipeline_runtime.fitting_stages,core_libraries.profiling,Uses,Python imports,2,"internal,component"
pipeline_runtime.fitting_stages,core_libraries.windows,Uses,Python imports,5,"internal,component"
pipeline_runtime.fitting_stages,pipeline_runtime.pipeline_common,Uses,Python imports,10,"internal,component"
pipeline_runtime.grouped_runners,core_libraries.perf,Uses,Python imports,4,"internal,component"
pipeline_runtime.inference_stages,core_libraries.anomaly,Uses,Python imports,1,"internal,component"
pipeline_runtime.inference_stages,core_libraries.graph,Uses,Python imports,1,"internal,component"
pipeline_runtime.inference_stages,core_libraries.io,Uses,Python imports,6,"internal,component"
